date,aportes_kwh
2022-10-31,302889400.0
2022-11-01,307274900.0
2022-11-02,348079500.0
2022-11-03,332567500.0
2022-11-04,311195600.0
2022-11-05,306616500.0
2022-11-06,316393500.0
2022-11-07,301924500.0
2022-11-08,376649900.0
2022-11-09,407427800.0
2022-11-10,465741200.0
2022-11-11,390542800.0
2022-11-12,417662500.0
2022-11-13,465314800.0
2022-11-14,423366500.0
2022-11-15,411617400.0
2022-11-16,370642300.0
2022-11-17,330953200.0
2022-11-18,369990600.0
2022-11-19,354257700.0
2022-11-20,339016100.0
2022-11-21,319311200.0
2022-11-22,329058900.0
2022-11-23,338380700.0
2022-11-24,331161100.0
2022-11-25,302257700.0
2022-11-26,318847400.0
2022-11-27,286709900.0
2022-11-28,357561400.0
2022-11-29,381692400.0
2022-11-30,365213800.0
2022-12-01,282858700.0
2022-12-02,254802800.0
2022-12-03,254468000.0
2022-12-04,263972300.0
2022-12-05,257163100.0
2022-12-06,260823200.0
2022-12-07,267603200.0
2022-12-08,293667700.0
2022-12-09,272430800.0
2022-12-10,236265800.0
2022-12-11,235789100.0
2022-12-12,261509600.0
2022-12-13,243430800.0
2022-12-14,225725500.0
2022-12-15,197938200.0
2022-12-16,174970200.0
2022-12-17,167411000.0
2022-12-18,174303000.0
2022-12-19,166675200.0
2022-12-20,162115400.0
2022-12-21,151360700.0
2022-12-22,151086000.0
2022-12-23,137307400.0
2022-12-24,168991100.0
2022-12-25,146689300.0
2022-12-26,154726600.0
2022-12-27,175602800.0
2022-12-28,165145200.0
2022-12-29,150015500.0
2022-12-30,139240800.0
2022-12-31,148239400.0
2023-01-01,142847700.0
2023-01-02,163493400.0
2023-01-03,184021000.0
2023-01-04,191394200.0
2023-01-05,163372500.0
2023-01-06,175842500.0
2023-01-07,221568300.0
2023-01-08,226152700.0
2023-01-09,192047200.0
2023-01-10,255572300.0
2023-01-11,276497100.0
2023-01-12,312106000.0
2023-01-13,264443800.0
2023-01-14,256437400.0
2023-01-15,251215000.0
2023-01-16,229148700.0
2023-01-17,206281200.0
2023-01-18,228772200.0
2023-01-19,216215700.0
2023-01-20,214879000.0
2023-01-21,190639100.0
